CdS,Coorte,Genere,Voto_test,Crediti_convoto,Crediti_totali,Voto_medio,Scuola_provenienza,Esame_Matematica,Voto_Matematica,Crediti_Matematica
CdS1,2014,M,21.00,30,51,23,LS,EsameMatematica,24,12
CdS1,2014,M,22.00,51,57,25,LS,EsameMatematica,27,12
CdS1,2014,M,14.00,6,6,20,LS,,,
CdS1,2014,M,17.00,21,21,22,LS,EsameMatematica,20,12
CdS1,2014,M,20.00,39,39,25,LS,EsameMatematica,27,12
CdS1,2014,M,18.00,39,42,24,IT,EsameMatematica,18,12
CdS1,2014,M,23.00,57,60,25,LS,EsameMatematica,26,12
CdS1,2014,M,22.00,57,60,27,IT,EsameMatematica,28,12
CdS1,2014,M,11.75,0,6,0,LC,,,
CdS1,2014,M,23.00,6,6,28,IT,,,
CdS1,2014,M,14.00,30,30,20,LS,EsameMatematica,19,12
CdS1,2015,M,19.00,6,6,21,LS,,,
CdS1,2015,F,17.00,9,12,22,,EsameMatematica,23,12
CdS1,2015,M,18.00,33,36,22,LS,EsameMatematica,27,12
CdS1,2015,M,16.00,21,24,20,LS,EsameMatematica,22,12
CdS1,2015,F,17.00,0,3,0,LC,,,
CdS1,2015,M,16.00,18,21,21,LS,EsameMatematica,19,12
CdS1,2015,F,17.00,0,3,0,LL,,,
CdS1,2015,F,3.00,0,3,0,LL,,,
CdS1,2015,F,21.00,12,15,20,LS,EsameMatematica,20,12
CdS1,2015,M,19.00,18,18,21,LS,EsameMatematica,20,12
CdS1,2015,M,17.00,33,33,24,IT,EsameMatematica,20,12
CdS1,2015,M,24.00,45,48,26,LS,EsameMatematica,26,12
CdS1,2015,F,21.00,45,48,25,LS,EsameMatematica,23,12
CdS1,2015,F,20.00,21,24,23,LS,EsameMatematica,18,12
CdS1,2015,M,23.00,57,60,28,LS,EsameMatematica,28,12
CdS1,2015,M,21.00,33,36,23,LS,EsameMatematica,23,12
CdS1,2015,M,8.00,0,3,0,LS,,,
CdS1,2015,F,16.00,15,18,22,LC,EsameMatematica,19,12
CdS1,2015,F,20.00,27,30,23,LS,EsameMatematica,24,12
CdS1,2015,M,17.00,27,30,23,LS,EsameMatematica,23,12
CdS1,2015,M,23.00,45,48,24,LS,EsameMatematica,26,12
CdS1,2015,F,13.00,0,3,0,AL,EsameMatematica,19,12
CdS1,2015,F,15.00,33,36,23,LS,EsameMatematica,21,12
CdS1,2015,F,22.00,30,33,22,LS,EsameMatematica,21,12
CdS1,2015,M,25.00,57,60,30,LS,EsameMatematica,31,12
CdS1,2015,M,24.00,45,45,28,LS,EsameMatematica,30,12
CdS1,2015,F,17.00,21,24,21,,EsameMatematica,19,12
CdS1,2015,M,18.00,33,36,23,LS,EsameMatematica,25,12
CdS1,2015,M,15.00,12,12,22,LS,,,
CdS1,2015,M,20.00,12,27,18,LS,EsameMatematica,18,12
CdS1,2015,F,20.00,33,36,24,LC,EsameMatematica,25,12
CdS1,2015,M,18.00,33,36,22,LS,EsameMatematica,21,12
CdS1,2015,M,24.00,45,48,22,LS,EsameMatematica,22,12
CdS1,2015,M,24.00,39,42,26,,EsameMatematica,25,12
CdS1,2015,M,13.00,0,3,0,IT,,,
CdS1,2015,M,25.00,45,48,24,LS,EsameMatematica,24,12
CdS1,2015,F,25.00,57,60,27,,EsameMatematica,28,12
CdS1,2015,F,10.00,0,3,0,LC,,,
CdS1,2015,F,22.00,39,42,24,LS,EsameMatematica,19,12
CdS1,2015,M,23.00,33,36,22,LS,EsameMatematica,20,12
CdS1,2015,M,22.00,33,36,22,LS,EsameMatematica,21,12
CdS1,2015,M,14.00,6,9,24,LS,,,
CdS1,2015,M,24.00,57,60,25,LS,EsameMatematica,22,12
CdS1,2015,F,23.00,0,9,0,LS,,,
CdS1,2015,M,23.00,57,60,29,LS,EsameMatematica,31,12
CdS1,2015,F,20.00,9,12,25,LS,,,
CdS1,2015,F,7.00,9,12,25,LS,,,
CdS1,2015,F,23.00,6,9,23,LS,EsameMatematica,27,12
CdS1,2015,M,23.00,45,48,25,LS,EsameMatematica,26,12
CdS1,2015,M,22.00,27,30,22,LS,EsameMatematica,19,12
CdS1,2015,M,20.00,0,3,0,AL,,,
CdS1,2015,M,24.00,39,39,20,LS,EsameMatematica,20,12
CdS1,2015,F,16.00,15,15,25,LS,,,
CdS1,2015,F,8.00,0,3,0,AL,,,
CdS1,2015,F,9.00,0,6,0,LC,,,
CdS1,2015,M,15.00,27,27,19,AL,EsameMatematica,18,12
CdS1,2015,M,24.00,9,9,28,LS,EsameMatematica,28,12
CdS1,2015,M,14.00,12,15,21,LS,EsameMatematica,18,12
CdS1,2015,M,20.00,57,60,25,LS,EsameMatematica,22,12
CdS1,2015,F,21.00,0,3,0,,,,
CdS1,2015,M,21.00,39,39,24,LS,EsameMatematica,21,12
CdS1,2015,F,21.00,21,24,23,LS,EsameMatematica,21,12
CdS1,2015,F,20.00,27,30,21,LS,EsameMatematica,20,12
CdS1,2015,F,13.00,0,3,0,LC,,,
CdS1,2015,M,23.00,57,57,28,AL,EsameMatematica,31,12
CdS1,2015,F,13.00,9,12,25,LC,,,
CdS1,2015,M,18.00,21,21,21,IT,EsameMatematica,20,12
CdS1,2015,M,24.00,57,57,28,LS,EsameMatematica,31,12
CdS1,2015,F,13.00,0,9,0,,,,
CdS1,2016,M,12.00,0,3,0,LS,,,
CdS1,2016,M,5.00,21,24,20,AL,,,
CdS1,2016,M,12.75,45,48,24,LS,EsameMatematica,21,12
CdS1,2016,M,12.00,57,60,27,LS,EsameMatematica,28,12
CdS1,2016,F,15.00,45,48,24,LS,EsameMatematica,24,12
CdS1,2016,M,8.75,45,48,23,LC,EsameMatematica,23,12
CdS1,2016,M,9.50,57,57,25,LS,EsameMatematica,26,12
CdS1,2016,M,10.00,45,48,26,LS,EsameMatematica,24,12
CdS1,2016,M,13.50,45,45,28,LS,EsameMatematica,26,12
CdS1,2016,M,9.75,27,30,21,LS,EsameMatematica,20,12
CdS1,2016,M,17.50,6,9,18,LS,,,
CdS1,2016,M,11.25,45,48,25,LS,EsameMatematica,20,12
CdS1,2016,F,10.50,51,51,25,LC,EsameMatematica,22,12
CdS1,2016,F,11.00,45,48,26,LC,EsameMatematica,25,12
CdS1,2016,M,12.75,57,60,29,LS,EsameMatematica,28,12
CdS1,2016,M,13.50,45,48,28,LS,EsameMatematica,28,12
CdS1,2016,M,14.50,18,18,23,LC,EsameMatematica,22,12
CdS1,2016,M,1.75,15,18,21,IT,EsameMatematica,22,12
CdS1,2016,M,10.25,24,27,23,LS,EsameMatematica,23,12
CdS1,2016,M,14.75,45,48,26,LS,EsameMatematica,27,12
CdS1,2016,M,15.00,57,60,26,LS,EsameMatematica,24,12
CdS1,2016,M,6.75,57,60,27,LL,EsameMatematica,30,12
CdS1,2016,F,10.00,33,36,24,LC,EsameMatematica,24,12
CdS1,2016,M,15.25,57,60,26,LS,EsameMatematica,30,12
CdS1,2016,F,10.00,0,3,0,LS,,,
CdS1,2016,M,8.50,57,60,25,LS,EsameMatematica,21,12
CdS1,2016,M,8.50,9,9,18,IT,,,
CdS1,2016,M,16.00,57,60,30,LS,EsameMatematica,31,12
CdS1,2016,M,12.00,21,24,22,LS,EsameMatematica,21,12
CdS1,2016,M,13.00,57,60,29,LS,EsameMatematica,31,12
CdS1,2016,M,5.25,33,33,22,IP,,,
CdS1,2016,M,11.75,57,60,30,LS,EsameMatematica,31,12
CdS1,2016,M,10.50,9,9,22,LS,,,
CdS1,2016,M,9.00,45,48,26,LS,EsameMatematica,22,12
CdS1,2016,M,12.00,57,57,28,LS,EsameMatematica,31,12
CdS1,2016,M,9.25,57,60,28,LS,EsameMatematica,27,12
CdS1,2016,F,9.00,18,21,30,LS,EsameMatematica,31,12
CdS1,2016,M,12.50,45,48,24,LS,EsameMatematica,24,12
CdS1,2016,M,9.75,33,33,22,LS,EsameMatematica,23,12
CdS1,2016,F,11.75,33,36,25,LS,EsameMatematica,28,12
CdS1,2016,M,7.25,12,12,18,LS,EsameMatematica,18,12
CdS1,2016,M,10.75,27,27,25,LS,EsameMatematica,20,12
CdS1,2016,M,10.75,18,18,21,LS,EsameMatematica,22,12
CdS1,2016,M,3.75,0,3,0,IT,,,
CdS1,2016,F,10.00,15,15,23,LL,,,
CdS1,2016,M,11.75,24,24,25,LC,EsameMatematica,25,12
CdS1,2016,M,11.25,57,57,22,LS,EsameMatematica,22,12
CdS1,2016,M,1.00,9,12,21,LS,,,
CdS1,2016,F,-0.50,0,3,0,TC,,,
CdS1,2016,M,16.25,27,27,23,IT,EsameMatematica,25,12
CdS1,2016,M,9.75,33,36,25,LS,EsameMatematica,25,12
CdS1,2016,M,13.50,33,33,21,LS,EsameMatematica,18,12
CdS1,2016,F,14.50,39,42,27,LS,EsameMatematica,26,12
CdS1,2016,M,7.25,0,3,0,LC,,,
CdS1,2016,M,11.25,27,30,23,LS,EsameMatematica,20,12
CdS1,2016,F,8.25,18,21,25,LS,,,
CdS1,2016,M,3.00,0,3,0,LS,,,
CdS1,2016,M,8.00,24,24,27,LC,EsameMatematica,28,12
CdS1,2016,F,3.75,6,6,21,LL,,,
CdS2,2010,M,18.00,0,3,0,TC,,,
CdS2,2010,M,20.00,21,24,25,LS,EsameMatematica,23,12
CdS2,2010,M,13.00,0,3,0,LS,,,
CdS2,2010,M,10.00,24,24,25,IT,EsameMatematica,24,12
CdS2,2010,M,17.00,0,18,0,IT,,,
CdS2,2010,M,0.00,0,12,0,IT,,,
CdS2,2010,M,15.00,12,12,26,TC,,,
CdS2,2010,F,12.00,0,12,0,LS,EsameMatematica,0,12
CdS2,2010,M,14.00,12,15,25,,,,
CdS2,2010,M,18.00,36,39,25,LS,EsameMatematica,23,12
CdS2,2010,M,21.00,57,60,29,IT,EsameMatematica,30,12
CdS2,2010,M,13.00,12,12,22,TC,EsameMatematica,19,12
CdS2,2010,F,19.00,57,60,29,LS,EsameMatematica,31,12
CdS2,2010,M,17.00,45,45,28,IT,EsameMatematica,30,12
CdS2,2010,M,20.00,24,24,27,IT,,,
CdS2,2010,F,14.00,45,48,27,AL,EsameMatematica,23,12
CdS2,2010,F,14.00,12,15,22,TC,EsameMatematica,18,12
CdS2,2010,M,15.00,36,39,24,LC,EsameMatematica,24,12
CdS2,2010,F,18.00,12,36,30,TC,EsameMatematica,30,12
CdS2,2010,M,16.00,24,24,25,TC,EsameMatematica,24,12
CdS2,2010,M,18.00,45,45,29,IT,EsameMatematica,30,12
CdS2,2010,F,17.00,12,18,25,LS,,,
CdS2,2010,M,17.00,57,60,27,IT,EsameMatematica,28,12
CdS2,2010,F,13.00,36,39,26,IT,EsameMatematica,28,12
CdS2,2010,F,9.00,12,15,22,LS,,,
CdS2,2010,M,19.00,45,48,27,LS,EsameMatematica,30,12
CdS2,2010,M,16.00,57,60,29,LS,EsameMatematica,28,12
CdS2,2010,M,11.00,24,24,20,LS,EsameMatematica,19,12
CdS2,2010,M,18.00,24,24,31,IT,EsameMatematica,30,12
CdS2,2010,M,15.00,0,3,0,IT,,,
CdS2,2010,M,22.00,36,39,27,LS,EsameMatematica,29,12
CdS2,2010,F,11.00,12,18,18,LS,,,
CdS2,2010,M,17.00,9,9,20,LS,EsameMatematica,24,12
CdS2,2010,M,12.00,12,12,18,IT,EsameMatematica,25,12
CdS2,2010,M,10.00,12,12,24,IP,EsameMatematica,20,12
CdS2,2011,M,6.00,0,4,0,AL,,,
CdS2,2011,F,14.00,12,15,25,LS,EsameMatematica,26,12
CdS2,2011,M,17.00,24,24,24,IT,EsameMatematica,27,12
CdS2,2011,M,14.00,24,24,25,LS,EsameMatematica,25,12
CdS2,2011,M,12.00,0,6,0,LS,,,
CdS2,2011,M,13.00,0,6,0,LS,,,
CdS2,2011,M,14.00,24,24,25,IT,,,
CdS2,2011,M,13.00,36,36,28,TC,EsameMatematica,21,12
CdS2,2011,M,17.00,24,27,27,LS,EsameMatematica,26,12
CdS2,2011,F,19.00,24,24,28,,EsameMatematica,31,12
CdS2,2011,M,12.00,57,57,27,IP,EsameMatematica,30,12
CdS2,2011,M,12.00,24,24,22,AL,,,
CdS2,2011,M,16.00,33,33,23,LS,EsameMatematica,18,12
CdS2,2011,M,11.00,36,39,27,LS,EsameMatematica,26,12
CdS2,2011,F,20.00,0,3,0,LS,,,
CdS2,2011,M,13.00,36,39,24,LS,EsameMatematica,24,12
CdS2,2011,M,18.00,12,12,23,LS,EsameMatematica,21,12
CdS2,2011,M,13.00,0,3,0,LS,EsameMatematica,20,12
CdS2,2011,M,17.00,57,60,23,IT,EsameMatematica,26,12
CdS2,2011,M,16.00,24,27,23,IT,EsameMatematica,20,12
CdS2,2011,M,12.00,24,27,24,LC,EsameMatematica,27,12
CdS2,2011,M,16.00,48,51,27,LS,EsameMatematica,26,12
CdS2,2011,M,19.00,24,24,24,LS,EsameMatematica,23,12
CdS2,2011,M,16.00,12,15,20,IT,,,
CdS2,2011,M,17.00,36,36,29,IT,EsameMatematica,30,12
CdS2,2011,M,13.00,24,24,23,TC,EsameMatematica,20,12
CdS2,2011,M,17.00,24,27,23,AL,EsameMatematica,24,12
CdS2,2011,M,20.00,36,36,26,IT,EsameMatematica,24,12
CdS2,2011,M,14.00,12,12,27,IT,EsameMatematica,27,12
CdS2,2011,M,0.00,24,24,24,LS,EsameMatematica,24,12
CdS2,2011,M,19.00,57,60,25,LS,EsameMatematica,28,12
CdS2,2011,M,17.00,12,15,25,LS,EsameMatematica,26,12
CdS2,2011,M,14.00,12,12,24,LS,EsameMatematica,23,12
CdS2,2011,M,12.00,48,48,27,IT,EsameMatematica,25,12
CdS2,2011,M,19.00,33,36,26,LS,EsameMatematica,28,12
CdS2,2011,M,14.00,24,24,25,LS,,,
CdS2,2011,M,7.00,0,3,0,IPC,,,
CdS2,2011,F,12.00,12,12,27,TC,,,
CdS2,2011,M,18.00,12,12,26,IT,EsameMatematica,26,12
CdS2,2011,M,17.00,24,24,25,IT,EsameMatematica,27,12
CdS2,2012,M,18.00,21,36,21,IT,EsameMatematica,23,12
CdS2,2012,M,10.00,36,39,25,XX,EsameMatematica,21,12
CdS2,2012,M,15.00,36,9,24,LS,EsameMatematica,24,12
CdS2,2012,M,16.00,36,45,24,LS,EsameMatematica,24,12
CdS2,2012,M,7.00,0,3,0,XX,,,
CdS2,2012,M,16.00,57,60,28,XX,EsameMatematica,24,12
CdS2,2012,M,16.00,57,60,27,IT,EsameMatematica,28,12
CdS2,2012,F,11.00,24,27,24,XX,EsameMatematica,20,12
CdS2,2012,M,16.00,57,60,26,LS,EsameMatematica,27,12
CdS2,2012,M,17.00,57,57,24,LS,EsameMatematica,26,12
CdS2,2012,M,21.00,12,12,24,IT,EsameMatematica,24,12
CdS2,2012,M,24.00,57,60,30,IT,EsameMatematica,31,12
CdS2,2012,M,13.00,21,21,23,LS,EsameMatematica,26,12
CdS2,2012,M,13.00,0,3,0,IT,EsameMatematica,27,12
CdS2,2012,M,21.00,57,60,29,XX,EsameMatematica,31,12
CdS2,2012,M,10.00,36,36,23,LC,EsameMatematica,28,12
CdS2,2012,M,19.00,57,60,30,IT,EsameMatematica,30,12
CdS2,2012,M,18.00,24,27,28,IT,,,
CdS2,2012,M,15.00,48,51,26,LS,EsameMatematica,24,12
CdS2,2012,M,8.00,36,39,22,IT,EsameMatematica,20,12
CdS2,2012,M,14.00,24,27,25,LS,EsameMatematica,26,12
CdS2,2012,M,14.00,24,24,31,IT,EsameMatematica,27,12
CdS2,2012,M,16.00,24,24,29,LS,EsameMatematica,28,12
CdS2,2012,F,13.00,24,27,26,LS,EsameMatematica,22,12
CdS2,2012,M,16.00,45,48,26,LS,EsameMatematica,30,12
CdS2,2012,M,11.00,0,3,0,IT,,,
CdS2,2012,M,11.00,48,51,29,IT,EsameMatematica,27,12
CdS2,2012,M,16.00,36,36,25,LS,EsameMatematica,30,12
CdS2,2012,F,18.00,33,36,28,LS,EsameMatematica,31,12
CdS2,2012,F,15.00,36,36,28,LC,EsameMatematica,23,12
CdS2,2012,M,15.00,45,48,27,IT,EsameMatematica,28,12
CdS2,2012,M,20.00,45,48,27,IT,EsameMatematica,29,12
CdS2,2012,M,10.00,0,3,0,IT,,,
CdS2,2012,F,13.00,21,24,28,LS,EsameMatematica,30,12
CdS2,2012,M,14.00,24,27,21,IT,EsameMatematica,21,12
CdS2,2012,M,9.00,0,3,0,XX,,,
CdS2,2012,F,13.00,12,12,20,LS,EsameMatematica,20,12
CdS2,2012,M,11.00,45,48,27,IT,EsameMatematica,28,12
CdS2,2012,F,12.00,36,36,25,XX,EsameMatematica,21,12
CdS2,2012,M,12.00,48,48,30,IT,EsameMatematica,28,12
CdS2,2012,M,13.00,33,36,28,IT,EsameMatematica,28,12
CdS2,2012,M,13.00,36,39,28,IT,EsameMatematica,27,12
CdS2,2012,M,17.00,0,3,0,IT,,,
CdS2,2012,M,16.00,24,24,26,IT,,,
CdS2,2012,M,17.00,36,36,26,LS,EsameMatematica,25,12
CdS2,2012,F,9.00,33,36,23,XX,EsameMatematica,24,12
CdS2,2012,M,13.00,36,36,22,LS,EsameMatematica,22,12
CdS2,2012,M,16.00,24,24,23,IT,,,
CdS2,2012,M,12.00,36,36,31,LS,EsameMatematica,31,12
CdS2,2012,M,16.00,36,36,23,IT,EsameMatematica,25,12
CdS2,2012,M,10.00,36,36,25,IT,EsameMatematica,22,12
CdS2,2012,M,11.00,45,48,27,IT,EsameMatematica,18,12
CdS2,2012,M,13.00,24,24,23,IT,EsameMatematica,20,12
CdS2,2012,M,13.00,24,27,27,IT,,,
CdS2,2012,M,14.00,12,12,27,IT,EsameMatematica,27,12
CdS2,2012,M,12.00,24,27,23,IT,EsameMatematica,20,12
CdS2,2012,M,9.00,0,4,0,LS,,,
CdS2,2012,M,12.00,12,12,27,IT,EsameMatematica,27,12
CdS2,2012,F,12.00,57,60,25,IT,EsameMatematica,24,12
CdS2,2012,M,20.00,45,45,28,LS,EsameMatematica,29,12
CdS2,2012,M,6.00,0,3,0,XX,,,
CdS2,2013,M,9.00,12,12,22,LC,,,
CdS2,2013,M,8.00,0,12,0,IT,,,
CdS2,2013,M,13.00,0,3,0,LS,,,
CdS2,2013,M,13.00,12,15,21,LS,EsameMatematica,21,12
CdS2,2013,M,15.00,48,48,25,IT,EsameMatematica,22,12
CdS2,2013,M,14.00,21,24,27,IT,EsameMatematica,29,12
CdS2,2013,M,18.00,48,51,27,LS,EsameMatematica,28,12
CdS2,2013,M,21.00,12,12,24,IT,EsameMatematica,24,12
CdS2,2013,M,16.00,36,39,23,IT,EsameMatematica,24,12
CdS2,2013,M,16.00,36,36,25,IT,EsameMatematica,30,12
CdS2,2013,F,13.00,0,3,0,IT,,,
CdS2,2013,M,15.00,33,36,22,IT,EsameMatematica,22,12
CdS2,2013,M,13.00,36,36,24,IT,EsameMatematica,26,12
CdS2,2013,M,19.00,57,57,30,LS,EsameMatematica,30,12
CdS2,2013,M,20.00,57,60,29,XX,EsameMatematica,31,12
CdS2,2013,M,16.00,45,48,27,IT,EsameMatematica,30,12
CdS2,2013,M,16.00,45,48,25,LS,,,
CdS2,2013,F,15.00,45,48,25,LC,EsameMatematica,25,12
CdS2,2013,M,21.00,45,45,25,IT,EsameMatematica,25,12
CdS2,2013,M,13.00,45,48,27,IT,EsameMatematica,29,12
CdS2,2013,M,20.00,24,24,29,LS,EsameMatematica,30,12
CdS2,2013,M,18.00,12,12,30,IT,EsameMatematica,26,12
CdS2,2013,F,4.00,12,12,20,XX,,,
CdS2,2013,F,21.00,57,60,30,LS,EsameMatematica,31,12
CdS2,2013,M,21.00,48,51,28,XX,EsameMatematica,30,12
CdS2,2013,M,15.00,24,27,25,IT,EsameMatematica,23,12
CdS2,2013,M,14.00,36,39,28,XX,EsameMatematica,29,12
CdS2,2013,M,12.00,36,36,29,IT,EsameMatematica,29,12
CdS2,2013,F,10.00,36,39,24,XX,EsameMatematica,23,12
CdS2,2013,M,18.00,57,57,27,IT,EsameMatematica,30,12
CdS2,2013,M,16.00,48,48,26,IT,EsameMatematica,30,12
CdS2,2013,M,12.00,36,36,23,IT,EsameMatematica,26,12
CdS2,2013,F,12.00,12,12,25,IT,,,
CdS2,2013,M,12.00,0,3,0,IT,,,
CdS2,2013,F,15.00,12,15,27,LS,,,
CdS2,2013,M,25.00,57,60,31,IT,EsameMatematica,31,12
CdS2,2013,F,12.00,12,15,27,LS,EsameMatematica,27,12
CdS2,2013,M,15.00,48,51,28,LS,EsameMatematica,30,12
CdS2,2013,M,5.00,24,24,23,LS,EsameMatematica,24,12
