CdS,Coorte,Genere,Voto_test,Crediti_convoto,Crediti_totali,Voto_medio,Scuola_provenienza,Esame_Matematica,Voto_Matematica,Crediti_Matematica
CdS2,2013,M,17.00,48,48,23,IT,EsameMatematica,24,12
CdS2,2013,M,12.00,36,39,23,IT,EsameMatematica,27,12
CdS2,2013,M,15.00,24,27,27,IT,EsameMatematica,27,12
CdS2,2013,M,18.00,24,27,25,IT,EsameMatematica,23,12
CdS2,2013,M,17.00,57,57,24,IT,EsameMatematica,26,12
CdS2,2013,M,8.00,24,27,26,IT,EsameMatematica,30,12
CdS2,2013,M,12.00,48,51,27,IT,EsameMatematica,30,12
CdS2,2013,F,24.00,57,60,29,LS,EsameMatematica,31,12
CdS2,2013,M,19.00,36,36,30,IT,EsameMatematica,28,12
CdS2,2013,F,8.00,0,6,0,XX,,,
CdS2,2013,M,18.00,57,60,25,IT,EsameMatematica,30,12
CdS2,2013,M,14.00,21,24,27,IT,EsameMatematica,28,12
CdS2,2013,M,19.00,33,36,27,IT,EsameMatematica,30,12
CdS2,2013,M,20.00,57,60,25,IT,EsameMatematica,29,12
CdS2,2013,F,9.00,36,39,23,IT,EsameMatematica,25,12
CdS2,2013,M,15.00,0,6,0,LS,,,
CdS2,2013,M,5.00,0,6,0,LS,,,
CdS2,2013,F,15.00,33,36,22,XX,EsameMatematica,26,12
CdS2,2013,F,13.00,45,45,26,XX,EsameMatematica,27,12
CdS2,2013,M,17.00,36,36,24,XX,EsameMatematica,26,12
CdS2,2013,M,18.00,24,27,27,IT,EsameMatematica,24,12
CdS2,2013,M,8.00,12,15,23,IT,EsameMatematica,25,12
CdS2,2013,M,15.00,48,48,26,XX,EsameMatematica,25,12
CdS2,2013,M,13.00,36,36,24,IT,EsameMatematica,20,12
CdS2,2013,M,17.00,57,57,28,LS,EsameMatematica,30,12
CdS2,2013,F,6.00,12,15,21,XX,,,
CdS2,2013,F,7.00,0,3,0,IT,,,
CdS2,2013,M,11.00,24,24,23,IT,EsameMatematica,23,12
CdS2,2013,F,12.00,12,15,18,LS,,,
CdS2,2013,M,16.00,24,30,22,IT,EsameMatematica,18,12
CdS2,2013,M,13.00,0,3,0,IT,,,
CdS2,2013,M,10.00,24,27,25,IT,EsameMatematica,23,12
CdS2,2013,M,18.00,33,36,26,IT,EsameMatematica,27,12
CdS2,2013,M,11.00,0,3,0,IT,,,
CdS2,2013,M,12.00,12,12,24,LS,,,
CdS2,2013,M,11.00,12,15,21,IT,,,
CdS2,2013,M,11.00,36,36,29,LS,EsameMatematica,30,12
CdS2,2013,M,10.00,12,15,23,IT,EsameMatematica,23,12
CdS2,2013,M,11.00,21,21,22,IT,,,
CdS2,2013,M,12.00,24,24,23,IT,EsameMatematica,24,12
CdS2,2013,M,9.00,36,36,23,IT,EsameMatematica,20,12
CdS2,2013,M,24.00,24,24,23,LS,EsameMatematica,25,12
CdS2,2013,M,8.00,12,15,20,IT,EsameMatematica,24,12
CdS2,2013,M,18.00,48,51,29,XX,EsameMatematica,30,12
CdS2,2013,M,13.00,24,24,27,LS,EsameMatematica,29,12
CdS2,2013,M,17.00,24,24,27,LC,EsameMatematica,24,12
CdS2,2013,M,14.00,0,3,0,LS,,,
CdS2,2013,F,10.00,0,3,0,XX,,,
CdS2,2013,M,12.00,24,27,23,IT,EsameMatematica,24,12
CdS2,2013,F,9.00,12,12,25,XX,EsameMatematica,28,12
CdS2,2014,M,10.00,24,27,26,IP,,,
CdS2,2014,M,20.00,45,63,24,LS,EsameMatematica,23,12
CdS2,2014,M,13.00,12,12,26,IT,,,
CdS2,2014,M,6.00,0,3,0,IT,,,
CdS2,2014,M,20.00,57,60,27,LS,EsameMatematica,31,12
CdS2,2014,M,12.00,0,3,0,IT,,,
CdS2,2014,M,20.00,57,60,29,LS,EsameMatematica,31,12
CdS2,2014,M,10.00,0,3,0,TC,,,
CdS2,2014,M,17.00,24,24,21,LS,EsameMatematica,18,12
CdS2,2014,M,11.00,12,12,23,IT,EsameMatematica,18,12
CdS2,2014,F,16.00,36,39,27,TC,EsameMatematica,27,12
CdS2,2014,M,17.00,48,51,27,IT,EsameMatematica,20,12
CdS2,2014,M,16.00,12,15,26,LS,,,
CdS2,2014,M,11.00,36,39,27,TC,EsameMatematica,24,12
CdS2,2014,M,12.00,24,24,24,TC,EsameMatematica,27,12
CdS2,2014,M,9.00,0,3,0,IT,,,
CdS2,2014,M,14.00,24,27,26,LS,EsameMatematica,18,12
CdS2,2014,F,14.00,36,36,22,TC,EsameMatematica,21,12
CdS2,2014,F,16.00,36,36,25,LS,EsameMatematica,28,12
CdS2,2014,M,15.00,48,48,24,TC,EsameMatematica,24,12
CdS2,2014,M,17.00,36,39,24,IT,EsameMatematica,23,12
CdS2,2014,M,19.00,36,39,30,IT,EsameMatematica,31,12
CdS2,2014,M,13.00,57,60,27,IT,EsameMatematica,30,12
CdS2,2014,M,10.00,12,12,25,IT,,,
CdS2,2014,M,11.00,24,27,24,IA,,,
CdS2,2014,M,12.00,0,3,0,LS,,,
CdS2,2014,M,18.00,57,60,30,LS,EsameMatematica,31,12
CdS2,2014,M,15.00,36,36,28,IT,EsameMatematica,31,12
CdS2,2014,M,20.00,45,45,28,TC,EsameMatematica,30,12
CdS2,2014,M,12.00,0,3,0,IT,,,
CdS2,2014,M,12.00,12,12,24,IT,,,
CdS2,2014,M,14.00,24,24,25,LS,EsameMatematica,28,12
CdS2,2014,M,12.00,36,39,23,IT,EsameMatematica,21,12
CdS2,2014,M,8.00,48,48,25,TC,EsameMatematica,24,12
CdS2,2014,M,12.00,33,36,24,IT,EsameMatematica,19,12
CdS2,2014,M,15.00,57,60,24,TC,EsameMatematica,24,12
CdS2,2014,M,22.00,45,45,29,LS,EsameMatematica,28,12
CdS2,2014,M,24.00,57,60,30,LS,EsameMatematica,31,12
CdS2,2014,M,14.00,24,27,23,LS,EsameMatematica,24,12
CdS2,2014,M,13.00,48,51,25,TC,EsameMatematica,25,12
CdS2,2014,M,12.00,24,24,20,LS,EsameMatematica,19,12
CdS2,2014,M,22.00,48,51,27,LS,EsameMatematica,29,12
CdS2,2014,F,16.00,57,60,27,IT,EsameMatematica,30,12
CdS2,2014,M,18.00,57,60,30,LS,EsameMatematica,29,12
CdS2,2014,M,15.00,12,12,28,IT,EsameMatematica,24,12
CdS2,2014,M,6.00,12,12,23,IA,,,
CdS2,2014,M,7.00,36,39,29,IT,EsameMatematica,28,12
CdS2,2014,M,17.00,36,39,28,IT,EsameMatematica,30,12
CdS2,2014,M,19.00,48,51,30,IT,EsameMatematica,31,12
CdS2,2014,M,9.00,12,12,18,IP,EsameMatematica,18,12
CdS2,2014,F,3.00,12,12,25,AL,,,
CdS2,2014,M,20.00,57,60,28,IT,EsameMatematica,31,12
CdS2,2014,M,12.00,48,48,23,IP,EsameMatematica,24,12
CdS2,2014,F,13.00,21,27,26,LS,EsameMatematica,31,12
CdS2,2014,F,21.00,45,45,27,LC,EsameMatematica,31,12
CdS2,2014,F,19.00,48,51,30,LS,EsameMatematica,31,12
CdS2,2014,M,11.00,24,27,24,TC,EsameMatematica,28,12
CdS2,2014,M,8.00,24,27,23,TC,EsameMatematica,21,12
CdS2,2014,F,15.00,36,39,25,LL,EsameMatematica,30,12
CdS2,2014,M,14.00,12,12,23,IT,,,
CdS2,2014,M,24.00,45,45,31,LS,EsameMatematica,31,12
CdS2,2014,M,11.00,12,12,19,IT,EsameMatematica,19,12
CdS2,2014,M,8.00,6,9,21,LS,,,
CdS2,2014,M,14.00,24,27,22,IT,EsameMatematica,25,12
CdS2,2014,M,12.00,0,3,0,TC,,,
CdS2,2014,F,10.00,12,12,30,LC,,,
CdS2,2014,M,23.00,57,57,30,LS,EsameMatematica,31,12
CdS2,2014,M,10.00,12,12,30,IA,EsameMatematica,24,12
CdS2,2014,M,15.00,24,24,24,IT,,,
CdS2,2014,M,8.00,12,15,19,LS,,,
CdS2,2014,F,13.00,12,27,18,,EsameMatematica,0,12
CdS2,2014,M,10.00,0,3,0,AL,,,
CdS2,2014,M,16.00,24,24,20,IT,EsameMatematica,20,12
CdS2,2014,M,23.00,24,27,23,LS,EsameMatematica,23,12
CdS2,2014,M,19.00,24,24,25,AL,,,
CdS2,2014,F,5.00,24,24,18,TC,EsameMatematica,18,12
CdS2,2014,M,17.00,0,3,0,XX,,,
CdS2,2014,M,0.00,9,108,25,LS,EsameMatematica,0,12
CdS2,2014,M,21.00,36,36,28,IT,EsameMatematica,28,12
CdS2,2015,M,25.00,6,9,23,LS,,,
CdS2,2015,M,16.00,0,15,0,LC,EsameMatematica,0,12
CdS2,2015,M,18.00,42,45,23,TC,,,
CdS2,2015,M,17.00,0,3,0,,,,
CdS2,2015,M,19.00,0,3,0,LS,EsameMatematica,21,12
CdS2,2015,M,14.00,21,27,23,LC,,,
CdS2,2015,M,15.00,24,27,29,,EsameMatematica,27,12
CdS2,2015,M,10.00,0,3,0,TC,,,
CdS2,2015,M,22.00,24,27,22,LS,EsameMatematica,27,12
CdS2,2015,M,22.00,36,39,26,,EsameMatematica,30,12
CdS2,2015,M,8.00,24,24,26,IT,EsameMatematica,27,12
CdS2,2015,M,16.00,12,12,25,LS,,,
CdS2,2015,F,21.00,24,24,26,LS,EsameMatematica,24,12
CdS2,2015,M,19.00,57,60,27,TC,EsameMatematica,30,12
CdS2,2015,M,7.00,36,39,23,LL,EsameMatematica,22,12
CdS2,2015,M,14.00,24,27,24,,EsameMatematica,25,12
CdS2,2015,M,17.00,33,33,25,LS,EsameMatematica,30,12
CdS2,2015,M,20.00,36,39,26,LS,EsameMatematica,27,12
CdS2,2015,M,20.00,24,27,26,IT,,,
CdS2,2015,F,15.00,12,15,27,LS,EsameMatematica,27,12
CdS2,2015,M,11.00,24,24,27,LS,EsameMatematica,28,12
CdS2,2015,M,20.00,24,24,27,LS,EsameMatematica,29,12
CdS2,2015,M,11.00,12,12,28,IT,EsameMatematica,24,12
CdS2,2015,M,19.00,24,27,28,IT,,,
CdS2,2015,M,11.00,12,12,25,LS,EsameMatematica,24,12
CdS2,2015,M,19.00,57,60,26,IT,EsameMatematica,24,12
CdS2,2015,F,16.00,33,36,28,LS,EsameMatematica,31,12
CdS2,2015,M,17.00,57,60,30,,EsameMatematica,31,12
CdS2,2015,M,20.00,12,12,22,IT,,,
CdS2,2015,M,19.00,24,24,25,AL,EsameMatematica,25,12
CdS2,2015,M,16.00,36,36,25,IT,,,
CdS2,2015,M,8.00,0,3,0,TC,,,
CdS2,2015,M,3.75,0,3,0,TC,,,
CdS2,2015,M,13.00,24,27,29,TC,EsameMatematica,29,12
CdS2,2015,M,19.00,36,36,25,IT,EsameMatematica,23,12
CdS2,2015,F,22.00,57,60,30,LS,EsameMatematica,31,12
CdS2,2015,M,7.00,36,39,27,AL,EsameMatematica,26,12
CdS2,2015,M,14.00,24,24,26,IT,,,
CdS2,2015,M,13.00,12,12,25,TC,,,
CdS2,2015,M,14.00,33,36,24,TC,EsameMatematica,24,12
CdS2,2015,F,13.00,24,24,26,LS,EsameMatematica,26,12
CdS2,2015,M,12.00,0,3,0,IT,,,
CdS2,2015,M,10.00,24,27,23,IT,EsameMatematica,22,12
CdS2,2015,M,15.00,12,15,23,IT,EsameMatematica,23,12
CdS2,2015,M,22.00,24,24,29,,EsameMatematica,28,12
CdS2,2015,M,12.00,36,36,26,TC,EsameMatematica,25,12
CdS2,2015,M,14.00,24,24,27,IT,EsameMatematica,23,12
CdS2,2015,M,19.00,57,57,27,IT,EsameMatematica,29,12
CdS2,2015,M,11.00,24,24,26,IT,EsameMatematica,30,12
CdS2,2015,M,18.00,24,24,29,LS,EsameMatematica,29,12
CdS2,2015,M,16.00,36,39,25,IT,EsameMatematica,19,12
CdS2,2015,M,16.00,45,45,26,IP,EsameMatematica,25,12
CdS2,2015,M,13.00,24,27,24,,EsameMatematica,25,12
CdS2,2015,M,12.00,36,39,22,,EsameMatematica,20,12
CdS2,2015,M,19.00,33,33,25,IT,EsameMatematica,27,12
CdS2,2015,M,11.00,24,24,24,TC,EsameMatematica,23,12
CdS2,2015,M,14.00,24,24,23,LS,EsameMatematica,20,12
CdS2,2015,M,13.00,0,3,0,AL,EsameMatematica,24,12
CdS2,2015,M,21.00,24,27,29,LS,EsameMatematica,30,12
CdS2,2015,M,14.00,33,33,25,IT,EsameMatematica,24,12
CdS2,2015,M,20.00,36,36,23,IP,EsameMatematica,24,12
CdS2,2015,F,4.00,0,3,0,LL,EsameMatematica,24,12
CdS2,2015,M,22.00,0,3,0,LS,,,
CdS2,2015,F,13.00,24,24,26,TC,EsameMatematica,27,12
CdS2,2015,M,15.00,24,24,24,IT,,,
CdS2,2015,M,17.00,24,24,28,IT,EsameMatematica,28,12
CdS2,2015,M,21.00,57,57,28,IT,EsameMatematica,30,12
CdS2,2015,M,22.00,33,33,24,LS,EsameMatematica,26,12
CdS2,2016,M,7.50,24,36,29,LS,EsameMatematica,26,12
CdS2,2016,F,9.50,45,51,25,LS,EsameMatematica,23,12
CdS2,2016,M,8.00,36,48,30,TC,EsameMatematica,30,12
CdS2,2016,M,10.00,57,60,27,LS,EsameMatematica,25,12
CdS2,2016,M,10.00,33,33,26,IT,EsameMatematica,26,12
CdS2,2016,M,5.00,24,27,27,TC,EsameMatematica,26,12
CdS2,2016,M,8.00,12,12,18,AL,,,
CdS2,2016,M,4.00,24,24,24,AL,EsameMatematica,28,12
CdS2,2016,M,12.25,36,36,28,LS,EsameMatematica,28,12
CdS2,2016,M,2.75,48,51,28,LL,EsameMatematica,28,12
CdS2,2016,M,7.00,36,36,25,IT,EsameMatematica,24,12
CdS2,2016,M,13.50,57,60,31,LS,EsameMatematica,31,12
CdS2,2016,M,2.50,12,12,25,IT,,,
CdS2,2016,M,0.75,24,24,24,IT,EsameMatematica,24,12
CdS2,2016,M,4.25,0,3,0,LS,,,
CdS2,2016,M,1.00,12,12,20,TC,,,
CdS2,2016,M,4.50,12,12,26,IT,,,
CdS2,2016,M,12.00,45,45,26,LS,EsameMatematica,31,12
CdS2,2016,M,6.75,33,33,23,LS,EsameMatematica,23,12
CdS2,2016,F,6.00,24,24,24,LS,EsameMatematica,23,12
CdS2,2016,M,0.75,24,24,26,IP,,,
CdS2,2016,M,10.00,45,48,26,TC,EsameMatematica,26,12
CdS2,2016,M,15.00,45,48,29,IT,EsameMatematica,28,12
CdS2,2016,M,4.50,0,3,0,IT,,,
CdS2,2016,M,9.25,12,12,26,TC,EsameMatematica,20,12
CdS2,2016,M,5.75,36,39,27,TC,EsameMatematica,27,12
CdS2,2016,M,9.50,45,48,29,IT,EsameMatematica,31,12
CdS2,2016,M,10.50,48,48,30,IT,EsameMatematica,31,12
CdS2,2016,M,11.75,36,36,25,LS,EsameMatematica,23,12
CdS2,2016,M,11.75,12,12,25,IP,EsameMatematica,21,12
CdS2,2016,M,5.50,45,48,27,LS,EsameMatematica,31,12
CdS2,2016,M,10.25,12,15,26,LS,EsameMatematica,25,12
CdS2,2016,M,3.00,12,12,30,IT,,,
CdS2,2016,M,10.75,21,21,29,IT,EsameMatematica,31,12
CdS2,2016,M,3.75,24,24,28,IT,EsameMatematica,24,12
CdS2,2016,M,1.00,12,15,20,IT,,,
CdS2,2016,M,6.00,36,36,28,IT,EsameMatematica,29,12
CdS2,2016,M,14.00,45,48,24,LS,EsameMatematica,30,12
CdS2,2016,M,9.00,9,9,19,LS,EsameMatematica,25,12
CdS2,2016,M,9.00,24,24,22,LS,EsameMatematica,20,12
CdS2,2016,F,8.75,12,15,27,LL,EsameMatematica,28,12
CdS2,2016,M,5.50,24,27,22,TC,EsameMatematica,23,12
CdS2,2016,F,6.25,24,24,27,LS,EsameMatematica,27,12
CdS2,2016,M,8.00,57,60,27,IT,EsameMatematica,26,12
CdS2,2016,F,3.00,21,21,24,AL,EsameMatematica,29,12
CdS2,2016,M,2.50,12,15,25,LS,,,
CdS2,2016,F,0.75,12,12,20,IT,,,
CdS2,2016,M,10.75,36,36,30,LS,EsameMatematica,31,12
CdS2,2016,M,10.75,33,33,29,LS,EsameMatematica,31,12
CdS2,2016,M,0.00,24,27,27,IT,,,
CdS2,2016,M,13.00,12,12,26,LS,,,
CdS2,2016,M,14.00,36,39,26,LS,EsameMatematica,30,12
CdS2,2016,F,11.50,12,12,24,LS,EsameMatematica,24,12
CdS2,2016,M,0.75,0,3,0,AL,,,
CdS2,2016,M,5.25,36,36,26,IT,EsameMatematica,22,12
CdS2,2016,M,8.25,21,21,24,LS,EsameMatematica,26,12
CdS2,2016,M,17.75,45,45,24,IT,EsameMatematica,31,12
CdS2,2016,M,9.25,24,24,22,LS,EsameMatematica,20,12
CdS2,2016,M,5.50,12,12,29,TC,EsameMatematica,27,12
CdS2,2016,F,7.50,45,48,27,LL,EsameMatematica,24,12
CdS2,2016,M,12.50,36,42,30,LS,EsameMatematica,30,12
CdS2,2016,M,5.50,0,3,0,LS,EsameMatematica,23,12
CdS2,2016,M,-1.00,0,3,0,LL,,,
CdS2,2016,F,7.00,33,36,25,LL,EsameMatematica,25,12
CdS2,2016,M,13.00,33,33,29,IT,EsameMatematica,29,12
CdS2,2016,M,-0.75,12,15,22,LS,,,
CdS2,2016,M,0.00,12,12,21,LS,EsameMatematica,21,12
CdS2,2016,M,9.75,57,60,25,IT,EsameMatematica,25,12
CdS2,2016,M,11.25,33,33,23,TC,EsameMatematica,24,12
CdS2,2016,M,11.25,33,36,28,TC,EsameMatematica,31,12
CdS2,2016,M,2.75,21,21,25,IP,,,
CdS2,2016,M,12.50,33,33,30,IT,EsameMatematica,31,12
CdS2,2016,M,3.00,12,12,25,LS,,,
CdS2,2016,M,6.25,48,48,27,IT,EsameMatematica,30,12
CdS2,2016,M,11.00,12,12,31,LS,EsameMatematica,31,12
CdS2,2016,M,9.75,12,12,21,IT,,,
CdS2,2016,M,-0.25,0,3,0,TC,,,
CdS2,2016,M,5.00,24,24,29,AL,EsameMatematica,28,12
CdS2,2016,M,3.00,0,3,0,TC,,,
CdS2,2016,M,4.00,24,24,27,TC,EsameMatematica,29,12
CdS2,2016,M,1.25,9,9,24,LS,,,
CdS2,2016,M,2.50,0,6,0,LS,,,
CdS2,2016,M,9.50,57,57,26,LS,EsameMatematica,28,12
CdS2,2016,M,18.75,33,33,26,,EsameMatematica,28,12
CdS2,2016,M,3.75,36,36,30,IT,EsameMatematica,30,12
CdS2,2016,M,7.25,24,24,24,IT,EsameMatematica,27,12
CdS3,2010,F,16.00,48,57,25,LS,EsameMatematica,25,15
CdS3,2010,F,14.00,30,36,24,LS,EsameMatematica,23,15
CdS3,2010,M,24.00,57,60,30,LS,EsameMatematica,31,15
CdS3,2010,F,15.00,0,3,0,LS,,,
CdS3,2010,M,15.00,30,33,21,LS,EsameMatematica,24,15
CdS3,2010,F,19.00,15,36,26,IT,EsameMatematica,26,15
CdS3,2010,F,19.00,30,33,25,LS,EsameMatematica,23,15
CdS3,2010,M,24.00,30,30,26,LS,EsameMatematica,30,15
CdS3,2010,F,22.00,57,60,27,LS,EsameMatematica,31,15
CdS3,2010,M,18.00,15,27,19,LS,EsameMatematica,19,15
CdS3,2010,M,16.00,0,3,0,LL,,,
CdS3,2010,M,25.00,57,60,29,LS,EsameMatematica,30,15
CdS3,2010,F,20.00,39,42,23,LS,EsameMatematica,24,15
CdS3,2010,M,20.00,57,60,29,LS,EsameMatematica,30,15
CdS3,2010,M,25.00,57,60,30,LS,EsameMatematica,31,15
CdS3,2010,F,23.00,39,42,25,LS,EsameMatematica,28,15
CdS3,2010,M,16.00,15,21,18,IT,EsameMatematica,18,15
CdS3,2010,M,23.00,57,60,30,LS,EsameMatematica,30,15
CdS3,2010,F,14.00,0,3,0,LC,,,
CdS3,2010,M,13.00,15,18,22,LS,EsameMatematica,22,15
CdS3,2010,F,24.00,33,36,25,LS,EsameMatematica,28,15
CdS3,2010,M,25.00,57,60,29,LS,EsameMatematica,30,15
CdS3,2010,M,17.00,21,36,23,LS,EsameMatematica,23,15
CdS3,2010,M,17.00,21,36,23,LS,EsameMatematica,23,6
CdS3,2010,M,17.00,9,9,18,TC,,,
CdS3,2010,F,24.00,48,51,22,LS,EsameMatematica,25,15
CdS3,2010,F,16.00,39,42,25,LS,EsameMatematica,26,15
CdS3,2010,F,19.00,48,51,26,LS,EsameMatematica,31,15
CdS3,2010,F,23.00,48,51,23,LS,EsameMatematica,28,15
CdS3,2010,F,15.00,0,3,0,LS,,,
CdS3,2010,F,11.00,0,3,0,LS,,,
CdS3,2010,F,20.00,30,33,24,LS,EsameMatematica,20,15
CdS3,2010,F,18.00,30,33,18,LS,EsameMatematica,18,15
